consumerID,Month,Electricity Consumption,No of Fans,No of tubelights,No of ACs,no of Heaters,no of workstations,yo
1,8,277,5,49,3,2,19,m
2,1,220,4,34,14,1,7,m
3,1,407,5,9,13,0,61,h
4,9,532,9,18,0,2,90,h
5,5,470,4,44,5,1,60,h
6,11,538,9,5,20,1,80,h
7,5,512,0,44,8,1,67,h
8,5,352,1,40,16,4,26,m
9,4,559,4,32,14,3,74,h
10,9,549,7,40,11,3,69,h
11,4,346,5,27,11,1,39,m
12,8,372,5,49,8,3,32,m
13,3,619,7,30,13,1,89,h
14,10,454,3,26,17,0,57,h
15,4,272,8,47,8,4,11,l
16,6,501,3,0,11,3,85,h
17,10,356,7,29,20,1,30,m
18,3,505,5,25,14,0,70,h
19,8,457,0,29,2,3,69,h
20,1,180,7,22,9,1,10,l
21,11,373,7,43,8,3,35,m
22,8,145,7,17,6,2,8,l
23,6,133,4,30,0,1,6,l
24,11,615,3,28,12,1,92,h
25,3,467,9,13,10,3,69,h
26,5,457,7,6,13,4,68,h
27,12,85,6,6,2,2,7,l
28,3,667,2,31,15,3,96,h
29,11,221,3,35,11,2,9,l
30,2,613,6,12,12,4,97,h
