Apt,Fan,Light,Ac,Fridge
1,200,700,4000,300
2,100,500,0,300
3,150,700,8000,300
4,250,900,4000,300
5,300,900,8000,300
6,350,1000,4000,300
7,250,900,0,300
8,300,900,8000,300
9,250,1200,12000,300
10,250,1400,4000,300
11,250,1200,4000,300
12,250,1300,4000,300
13,250,1400,8000,300
14,250,1300,8000,300
15,250,1200,8000,300
16,250,1300,12000,300
17,250,1400,12000,300
18,300,1200,12000,300
19,300,1400,4000,300
20,300,1200,4000,300
21,300,1300,4000,300
22,300,1400,8000,300
23,300,1200,8000,300
24,300,1300,8000,300
25,300,1200,12000,300
26,300,1400,12000,300
27,300,1300,12000,300
28,300,900,8000,300
29,300,1000,8000,300
30,300,800,8000,300
31,300,900,4000,300
32,300,1000,4000,300
33,300,800,4000,300
34,250,1200,8000,300
35,250,900,8000,300
36,250,1000,8000,300
37,250,800,8000,300
38,250,900,4000,300
39,250,1000,4000,300
40,250,800,4000,300
41,250,900,4000,300
42,300,900,4000,300
43,250,800,4000,300
44,350,1000,4000,300
45,350,1100,4000,300
46,350,900,4000,300
47,350,1000,8000,300
48,350,1100,8000,300
49,350,900,8000,300
50,300,1000,4000,300
51,300,1100,4000,300
52,300,900,4000,300
53,300,1000,8000,300
54,300,1100,8000,300
55,300,900,8000,300
56,350,1000,12000,300
57,350,1100,12000,300
58,350,900,12000,300
59,350,1000,12000,300
60,350,1100,12000,300
61,350,900,12000,300
62,300,1000,12000,300
63,300,1100,12000,300
64,300,900,12000,300
65,300,1000,12000,300
66,300,1100,12000,300
67,300,900,12000,300
68,300,900,8000,300
69,300,800,8000,300
70,300,700,8000,300
71,300,900,4000,300
72,300,800,4000,300
73,300,700,4000,300
74,250,900,8000,300
75,250,800,8000,300
76,250,700,8000,300
77,250,900,4000,300
78,250,800,4000,300
79,250,700,4000,300
80,350,900,8000,300
81,350,800,8000,300
82,350,700,8000,300
83,350,900,4000,300
84,350,800,4000,300
85,350,700,4000,300
86,250,900,4000,300
87,250,900,8000,300
88,250,800,4000,300
89,250,800,8000,300
90,250,1000,4000,300
91,250,1000,8000,300
92,150,700,8000,300
93,150,800,8000,300
94,150,900,8000,300
95,150,600,8000,300
96,150,700,4000,300
97,150,800,4000,300
98,150,900,4000,300
99,150,600,4000,300
100,100,500,0,300
101,150,700,0,300
102,150,800,0,300
103,150,900,0,300
104,150,600,0,300
105,100,500,4000,300
106,150,500,4000,300
107,150,500,0,300
108,150,600,4000,300
109,150,600,0,300
110,100,600,0,300
111,100,600,4000,300
112,150,600,0,300
113,150,600,4000,300
114,200,700,4000,300
115,200,600,4000,300
116,200,800,4000,300
117,200,700,0,300
118,200,600,0,300
119,200,800,0,300
120,200,700,8000,300
121,200,600,8000,300
122,200,800,8000,300
123,250,700,4000,300
124,250,600,4000,300
125,250,800,4000,300
126,250,700,0,300
127,250,600,0,300
128,250,800,0,300
129,250,700,8000,300
130,250,600,8000,300
131,250,800,8000,300
132,300,700,4000,300
133,300,600,4000,300
134,300,800,4000,300
135,300,700,0,300
136,300,600,0,300
137,300,800,0,300
138,300,700,8000,300
139,300,600,8000,300
140,300,800,8000,300
141,400,1500,12000,300
142,400,1600,12000,300
143,400,1400,12000,300
144,400,1500,8000,300
145,400,1600,8000,300
146,400,1400,8000,300
147,400,1500,4000,300
148,400,1600,4000,300
149,400,1400,4000,300
150,450,1500,12000,300
151,450,1600,12000,300
152,450,1400,12000,300
153,450,1500,8000,300
154,450,1600,8000,300
155,450,1400,8000,300
156,450,1500,4000,300
157,450,1600,4000,300
158,450,1400,4000,300
159,350,1500,12000,300
160,350,1600,12000,300
161,350,1400,12000,300
162,350,1500,8000,300
163,350,1600,8000,300
164,350,1400,8000,300
165,350,1500,4000,300
166,350,1600,4000,300
167,350,1400,4000,300
168,500,1800,12000,300
169,500,1700,12000,300
170,500,1600,12000,300
171,500,1500,12000,300
172,500,1900,12000,300
173,500,1800,16000,300
174,500,1700,16000,300
175,500,1600,16000,300
176,500,1500,16000,300
177,500,1900,16000,300
178,500,1800,8000,300
179,500,1700,8000,300
180,500,1600,8000,300
181,500,1500,8000,300
182,500,1900,8000,300
183,450,1800,12000,300
184,450,1700,12000,300
185,450,1600,12000,300
186,450,1500,12000,300
187,450,1900,12000,300
188,450,1800,16000,300
189,450,1700,16000,300
190,450,1600,16000,300
191,450,1500,16000,300
192,450,1900,16000,300
193,450,1800,8000,300
194,450,1700,8000,300
195,450,1600,8000,300
196,450,1500,8000,300
197,450,1900,8000,300
198,400,1600,8000,300
199,400,1500,8000,300
200,400,1600,12000,300
