Consumer,Jan,Feb,Mar,Apr,May,Jun
]160220030013,293,351,274,289,330,210
]160220030030,312,547,444,769,1049,554
]160220030048,237,216,209,158,483,229
]160220030056 ,281,345,293,584,764,414
]160220030064,448,709,538,935,1179,733
]160220030072 ,184,272,0,484,382,271
]160220030081,239,433,299,334,338,302
]160220030099  ,542,528,521,820,1272,727
]160220030102,281,364,251,455,609,350
]160220030129,306,433,325,560,513,201
]160220030145,468,662,502,1554,0,3694
]160220030153,319,460,304,817,1018,538
]160220030161,533,572,339,711,834,850
]160220030170,333,313,360,620,928,566
]160220030188,224,340,237,436,89,205
]160220030196 ,0,37,13,92,98,85
]160220030200,567,797,581,1096,1688,868
]160220030218 ,138,187,137,132,170,128
]160220030226,300,396,247,275,316,233
]160220030234,136,207,141,151,177,142
