,Consumer,2012clusterID1,2012clusterID2,2012clusterID3,2012clusterID4,2012clusterID5,2012clusterID6
1,]160220030013,3,2,3,1,1,3
2,]160220030030,3,3,2,3,2,1
3,]160220030048,3,1,3,1,3,3
4,]160220030056 ,3,2,3,3,3,3
5,]160220030064,2,3,2,3,2,1
6,]160220030072 ,1,1,1,1,1,3
7,]160220030081,3,2,3,1,1,3
8,]160220030099  ,2,3,2,3,2,1
9,]160220030102,3,2,3,1,3,3
10,]160220030129,3,2,3,3,3,3
11,]160220030145,2,3,2,2,1,2
12,]160220030153,3,2,3,3,2,1
13,]160220030161,2,3,3,3,3,1
14,]160220030170,3,2,3,3,3,1
15,]160220030188,3,2,3,1,1,3
16,]160220030196 ,1,1,1,1,1,3
17,]160220030200,2,3,2,2,2,1
18,]160220030218 ,1,1,1,1,1,3
19,]160220030226,3,2,3,1,1,3
20,]160220030234,1,1,1,1,1,3
