,Consumer,,,2013clusterID1,,,2013clusterID2,,,2013clusterID3,,,2013clusterID4,,2013clusterID5,,2013clusterID6
1,]160220030013,,,2,,,3,,,2,,,1,,1,,2
2,]160220030030,,,2,,,3,,,3,,,2,,3,,3
3,]160220030048,,,1,,,3,,,1,,,1,,1,,2
4,]160220030056 ,,,2,,,3,,,2,,,2,,3,,2
5,]160220030064,,,3,,,2,,,3,,,3,,1,,3
6,]160220030072 ,,,2,,,3,,,2,,,1,,1,,2
7,]160220030081,,,2,,,3,,,2,,,1,,1,,2
8,]160220030099  ,,,3,,,2,,,3,,,2,,3,,3
9,]160220030102,,,2,,,2,,,2,,,2,,3,,2
10,]160220030129,,,2,,,3,,,3,,,2,,3,,2
11,]160220030145,,,3,,,2,,,3,,,3,,2,,3
12,]160220030153,,,1,,,1,,,1,,,1,,1,,1
13,]160220030161,,,2,,,2,,,2,,,1,,3,,3
14,]160220030170,,,2,,,3,,,2,,,2,,3,,2
15,]160220030188,,,1,,,1,,,1,,,1,,1,,1
16,]160220030196 ,,,1,,,1,,,1,,,1,,1,,1
17,]160220030200,,,3,,,2,,,3,,,3,,2,,3
18,]160220030218 ,,,2,,,1,,,1,,,1,,1,,1
19,]160220030226,,,2,,,3,,,2,,,1,,1,,2
20,]160220030234,,,1,,,1,,,1,,,1,,1,,1
