Apt,Fan,Light,Ac,Fridge,Month,month,fan,light,ac,consumption,monthly consumption,clusterno,,,,,
1,4,7,1,1,Jan,31,1085,2077,124,5208,2166.9,1,,,,,
1,4,7,1,1,Feb,28,980,1876,112,4704,1957.2,1,,,,,
1,4,7,1,1,Mar,31,1085,2077,124,5208,2166.9,1,,,,,
1,4,7,1,1,Apr,30,3540,2010,1140,5040,6675,1,,,,,
1,4,7,1,1,May,31,3658,2077,1178,5208,6897.5,1,,,,,
1,4,7,1,1,June,30,3540,2010,1140,5040,6675,1,,,,,
1,4,7,1,1,July,31,3658,2077,1178,5208,6897.5,1,,,,,
1,4,7,1,1,Aug,31,3658,2077,1178,5208,6897.5,1,,hours/month:,,,
1,4,7,1,1,Sept,30,3540,2010,1140,5040,6675,1,month,fan,light,ac,consumption
1,4,7,1,1,Oct,31,3658,2077,1178,5208,6897.5,1,31,1085,2077,124,5208
1,4,7,1,1,Nov,30,1050,2010,120,5040,2097,1,28,980,1876,112,4704
1,4,7,1,1,Dec,31,1085,2077,124,5208,2166.9,1,31,1085,2077,124,5208
2,2,5,0,1,Jan,31,1085,2077,124,5208,1147,3,30,3540,2010,1140,5040
2,2,5,0,1,Feb,28,980,1876,112,4704,1036,3,31,3658,2077,1178,5208
2,2,5,0,1,Mar,31,1085,2077,124,5208,1147,3,30,3540,2010,1140,5040
2,2,5,0,1,Apr,30,3540,2010,1140,5040,1359,3,31,3658,2077,1178,5208
2,2,5,0,1,May,31,3658,2077,1178,5208,1404.3,3,31,3658,2077,1178,5208
2,2,5,0,1,June,30,3540,2010,1140,5040,1359,3,30,3540,2010,1140,5040
2,2,5,0,1,July,31,3658,2077,1178,5208,1404.3,3,31,3658,2077,1178,5208
2,2,5,0,1,Aug,31,3658,2077,1178,5208,1404.3,3,30,1050,2010,120,5040
2,2,5,0,1,Sept,30,3540,2010,1140,5040,1359,3,31,1085,2077,124,5208
2,2,5,0,1,Oct,31,3658,2077,1178,5208,1404.3,3,,,,,
2,2,5,0,1,Nov,30,1050,2010,120,5040,1110,3,,,,,
2,2,5,0,1,Dec,31,1085,2077,124,5208,1147,3,,,,,
3,3,7,2,1,Jan,31,1085,2077,124,5208,2608.65,2,,,,,
3,3,7,2,1,Feb,28,980,1876,112,4704,2356.2,2,,,,,
3,3,7,2,1,Mar,31,1085,2077,124,5208,2608.65,2,,,,,
3,3,7,2,1,Apr,30,3540,2010,1140,5040,11058,2,,,,,
3,3,7,2,1,May,31,3658,2077,1178,5208,11426.6,2,,,,,
3,3,7,2,1,June,30,3540,2010,1140,5040,11058,2,,,,,
3,3,7,2,1,July,31,3658,2077,1178,5208,11426.6,2,,,,,
3,3,7,2,1,Aug,31,3658,2077,1178,5208,11426.6,2,,,,,
3,3,7,2,1,Sept,30,3540,2010,1140,5040,11058,2,,,,,
3,3,7,2,1,Oct,31,3658,2077,1178,5208,11426.6,2,,,,,
3,3,7,2,1,Nov,30,1050,2010,120,5040,2524.5,2,,,,,
3,3,7,2,1,Dec,31,1085,2077,124,5208,2608.65,2,,,,,
4,5,9,1,1,Jan,31,1085,2077,124,5208,2636.55,1,,,,,
4,5,9,1,1,Feb,28,980,1876,112,4704,2381.4,1,,,,,
4,5,9,1,1,Mar,31,1085,2077,124,5208,2636.55,1,,,,,
4,5,9,1,1,Apr,30,3540,2010,1140,5040,7254,1,,,,,
4,5,9,1,1,May,31,3658,2077,1178,5208,7495.8,1,,,,,
4,5,9,1,1,June,30,3540,2010,1140,5040,7254,1,,,,,
4,5,9,1,1,July,31,3658,2077,1178,5208,7495.8,1,,,,,
4,5,9,1,1,Aug,31,3658,2077,1178,5208,7495.8,1,,,,,
4,5,9,1,1,Sept,30,3540,2010,1140,5040,7254,1,,,,,
4,5,9,1,1,Oct,31,3658,2077,1178,5208,7495.8,1,,,,,
4,5,9,1,1,Nov,30,1050,2010,120,5040,2551.5,1,,,,,
4,5,9,1,1,Dec,31,1085,2077,124,5208,2636.55,1,,,,,
5,6,9,2,1,Jan,31,1085,2077,124,5208,3186.8,2,,,,,
5,6,9,2,1,Feb,28,980,1876,112,4704,2878.4,2,,,,,
5,6,9,2,1,Mar,31,1085,2077,124,5208,3186.8,2,,,,,
5,6,9,2,1,Apr,30,3540,2010,1140,5040,11991,2,,,,,
5,6,9,2,1,May,31,3658,2077,1178,5208,12390.7,2,,,,,
5,6,9,2,1,June,30,3540,2010,1140,5040,11991,2,,,,,
5,6,9,2,1,July,31,3658,2077,1178,5208,12390.7,2,,,,,
5,6,9,2,1,Aug,31,3658,2077,1178,5208,12390.7,2,,,,,
5,6,9,2,1,Sept,30,3540,2010,1140,5040,11991,2,,,,,
5,6,9,2,1,Oct,31,3658,2077,1178,5208,12390.7,2,,,,,
5,6,9,2,1,Nov,30,1050,2010,120,5040,3084,2,,,,,
5,6,9,2,1,Dec,31,1085,2077,124,5208,3186.8,2,,,,,
6,7,10,1,1,Jan,31,1085,2077,124,5208,2952.75,1,,,,,
6,7,10,1,1,Feb,28,980,1876,112,4704,2667,1,,,,,
6,7,10,1,1,Mar,31,1085,2077,124,5208,2952.75,1,,,,,
6,7,10,1,1,Apr,30,3540,2010,1140,5040,7809,1,,,,,
6,7,10,1,1,May,31,3658,2077,1178,5208,8069.3,1,,,,,
6,7,10,1,1,June,30,3540,2010,1140,5040,7809,1,,,,,
6,7,10,1,1,July,31,3658,2077,1178,5208,8069.3,1,,,,,
6,7,10,1,1,Aug,31,3658,2077,1178,5208,8069.3,1,,,,,
6,7,10,1,1,Sept,30,3540,2010,1140,5040,7809,1,,,,,
6,7,10,1,1,Oct,31,3658,2077,1178,5208,8069.3,1,,,,,
6,7,10,1,1,Nov,30,1050,2010,120,5040,2857.5,1,,,,,
6,7,10,1,1,Dec,31,1085,2077,124,5208,2952.75,1,,,,,
7,5,9,0,1,Jan,31,1085,2077,124,5208,2140.55,3,,,,,
7,5,9,0,1,Feb,28,980,1876,112,4704,1933.4,3,,,,,
7,5,9,0,1,Mar,31,1085,2077,124,5208,2140.55,3,,,,,
